date,time,open,high,low,close,volume
"Mon-19-Feb-24,00:00:00",52175,53120,50430,51748,36914334677
"Mon-26-Feb-24,00:00:00",51748,64497,50922,63179,70456339513
"Mon-04-Mar-24,00:00:00",63179,70320,59111,69000,86271866364
"Mon-11-Mar-24,00:00:00",69000,73949,64540,68432,88751181568
"Mon-18-Mar-24,00:00:00",68432,69040,60761,67248,81103486192
"Mon-25-Mar-24,00:00:00",67248,71898,66374,71378,50622609070
"Mon-01-Apr-24,00:00:00",71378,71395,64406,69355,60925336325
"Mon-08-Apr-24,00:00:00",69355,72854,59766,65619,78806217651
"Mon-15-Apr-24,00:00:00",65619,66835,59522,64911,71554042401
"Mon-22-Apr-24,00:00:00",64911,67199,62370,63093,42271797615
"Mon-29-Apr-24,00:00:00",63093,64705,56505,63998,63447771034
"Mon-06-May-24,00:00:00",63998,65540,60111,61450,43027841886
"Mon-13-May-24,00:00:00",61450,67738,60708,66236,39612815964
"Mon-20-May-24,00:00:00",66236,72062,66034,68529,42505096099
"Mon-27-May-24,00:00:00",68529,70738,66660,67776,32911053003
"Mon-03-Jun-24,00:00:00",67776,72169,67622,69642,33895182390
"Mon-10-Jun-24,00:00:00",69642,70181,65030,66638,41756092648
"Mon-17-Jun-24,00:00:00",66638,67290,63123,63180,38419342702
"Mon-24-Jun-24,00:00:00",63180,63330,58320,62750,44484596170
"Mon-01-Jul-24,00:00:00",62750,63845,53314,55840,56626234410
"Mon-08-Jul-24,00:00:00",55840,61388,54228,60756,46919778444
"Mon-15-Jul-24,00:00:00",60756,68372,60602,68150,51717443998
"Mon-22-Jul-24,00:00:00",68150,69400,63378,68241,54870563509
"Mon-29-Jul-24,00:00:00",68241,70137,57150,58132,72680701328
"Mon-05-Aug-24,00:00:00",58132,62743,48914,58703,84812901601
"Mon-12-Aug-24,00:00:00",58703,61950,56052,58406,53625543015
"Mon-19-Aug-24,00:00:00",58406,65042,57753,64181,47029206297
"Mon-26-Aug-24,00:00:00",64181,64448,56913,57266,54834841333
"Mon-02-Sep-24,00:00:00",57266,59805,52500,54850,52658895450
"Mon-09-Sep-24,00:00:00",54850,60624,54560,59101,45622854499
"Mon-16-Sep-24,00:00:00",59101,59182,57450,58916,9006815282
